structure d50
trjconv_1hsi_556.pdb 4.58681806921
trjconv_1hsi_412.pdb 5.16132734866
trjconv_1hsi_456.pdb 5.46741255074
trjconv_1hsi_369.pdb 4.77427481404
trjconv_1hsi_264.pdb 4.98590011934
trjconv_1hsi_50.pdb 4.93188604897
trjconv_1hsi_299.pdb 4.20659006798
trjconv_1hsi_123.pdb 4.4585423627
trjconv_1hsi_890.pdb 4.87220689216
trjconv_1hsi_245.pdb 4.92121936109
trjconv_1hsi_743.pdb 5.23565659684
trjconv_1hsi_82.pdb 5.1439867807
trjconv_1hsi_523.pdb 4.85726260357
trjconv_1hsi_117.pdb 4.50248820098
trjconv_1hsi_914.pdb 5.03044729622
trjconv_1hsi_466.pdb 5.26394338875
trjconv_1hsi_187.pdb 4.70711164091
trjconv_1hsi_498.pdb 5.36512814386
